158;1.03101E+11;Fiduciarios
159;1.03101E+11;Con garantía de obligaciones depositaria propias
160;10310105;Consumo
161;1031010501;Préstamos
162;1.03101E+11;Fiduciarios
163;1.03101E+11;Prendarios – fiduciarios
164;1.03101E+11;Prendarios
165;1.03101E+11;Hipotecarios – fiduciarios
166;1.03101E+11;Hipotecarios – prendarios
167;1.03101E+11;Hipotecarios
168;1.03101E+11;Derechos de posesión
169;1.03101E+11;Hipotecarios - prendarios – fiduciarios
170;1.03101E+11;Con garantía de obligaciones depositarias propias
171;1031010505;Tarjetas de crédito
172;1031010509;Deudores por venta de activos extraordinarios
173;103102;VENCIDA
174;10310201;En prórroga
175;1031020102;Productivos
176;1.03102E+11;Préstamos
177;1.03102E+13;Fiduciarios
178;1.03102E+13;Prendarios – fiduciarios
179;1.03102E+13;Prendarios
180;1.03102E+13;Hipotecarios – fiduciarios
181;1.03102E+13;Hipotecarios – prendarios
182;1.03102E+13;Hipotecarios
183;1.03102E+13;Derechos de posesión
184;1.03102E+13;Hipotecarios - prendarios – fiduciarios
185;1.03102E+13;Con garantía de obligaciones depositarias propias
186;1.03102E+11;Deudores por venta de activos extraordinarios
187;1031020103;Microcréditos
188;1.03102E+11;Préstamos
189;1.03102E+13;Fiduciarios
190;1.03102E+13;Prendarios – fiduciarios
191;1.03102E+13;Prendarios
192;1.03102E+13;Hipotecarios – fiduciarios
193;1.03102E+13;Hipotecarios – prendarios
194;1.03102E+13;Hipotecarios
195;1.03102E+13;Derechos de posesión
196;1.03102E+13;Hipotecarios - prendarios – fiduciarios
197;1.03102E+13;Con garantía de obligaciones propias
198;1.03102E+11;Deudores por venta de activos extraordinarios
199;1031020104;Vivienda
200;1.03102E+11;Préstamos
201;1.03102E+13;Fiduciarios
202;1.03102E+13;Prendarios – fiduciarios
203;1.03102E+13;Prendarios
204;1.03102E+13;Hipotecarios – fiduciarios
205;1.03102E+13;Hipotecarios – prendarios
206;1.03102E+13;Hipotecarios
207;1.03102E+13;Derechos de posesión
208;1.03102E+13;Hipotecarios - prendarios – fiduciarios
209;1.03102E+13;Con garantía de obligaciones depositarias propias
210;1031020105;Consumo
211;1.03102E+11;Préstamos
212;1.03102E+13;Fiduciarios
213;1.03102E+13;Prendarios – fiduciarios
214;1.03102E+13;Prendarios
215;1.03102E+13;Hipotecarios – fiduciarios
216;1.03102E+13;Hipotecarios – prendarios
217;1.03102E+13;Hipotecarios
218;1.03102E+13;Derechos de posesión
219;1.03102E+13;Hipotecarios - prendarios – fiduciarios
220;1.03102E+13;Con garantía de obligaciones depositarias propias
221;1.03102E+11;Tarjetas de crédito
222;1.03102E+11;Deudores por venta de activos extraordinarios
223;10310202;En cobro administrativo
224;1031020202;Productivos
225;1.03102E+11;Préstamos
226;1.03102E+13;Fiduciarios
227;1.03102E+13;Prendarios – fiduciarios
228;1.03102E+13;Prendarios
229;1.03102E+13;Hipotecarios – fiduciarios
230;1.03102E+13;Hipotecarios – prendarios
231;1.03102E+13;Hipotecarios
232;1.03102E+13;Derechos de posesión
233;1.03102E+13;Hipotecarios - prendarios – fiduciarios
234;1.03102E+13;Con garantía de obligaciones depositarias propias
